Higher Taxon,December 2012,Family,Subfamily
Sauria,Laudakia melanura,Agamidae,Agaminae
Sauria,Laudakia microlepis,Agamidae,Agaminae
Sauria,Laudakia nupta,Agamidae,Agaminae
Sauria,Laudakia nuristanica,Agamidae,Agaminae
Sauria,Laudakia pakistanica,Agamidae,Agaminae
Sauria,Laudakia papenfussi,Agamidae,Agaminae
Sauria,Laudakia sacra,Agamidae,Agaminae
Sauria,Laudakia stellio,Agamidae,Agaminae
Sauria,Laudakia stoliczkana,Agamidae,Agaminae
Sauria,Laudakia tuberculata,Agamidae,Agaminae
Sauria,Laudakia wui,Agamidae,Agaminae
Sauria,Phrynocephalus albolineatus,Agamidae,Agaminae
Sauria,Phrynocephalus arabicus,Agamidae,Agaminae
Sauria,Phrynocephalus axillaris,Agamidae,Agaminae
Sauria,Phrynocephalus clarkorum,Agamidae,Agaminae
Sauria,Phrynocephalus euptilopus,Agamidae,Agaminae
Sauria,Phrynocephalus forsythii,Agamidae,Agaminae
Sauria,Phrynocephalus golubewii,Agamidae,Agaminae
Sauria,Phrynocephalus guinanensis,Agamidae,Agaminae
Sauria,Phrynocephalus guttatus,Agamidae,Agaminae
Sauria,Phrynocephalus helioscopus,Agamidae,Agaminae
Sauria,Phrynocephalus interscapularis,Agamidae,Agaminae
Sauria,Phrynocephalus lidskii,Agamidae,Agaminae
Sauria,Phrynocephalus luteoguttatus,Agamidae,Agaminae
Sauria,Phrynocephalus maculatus,Agamidae,Agaminae
Sauria,Phrynocephalus melanurus,Agamidae,Agaminae
Sauria,Phrynocephalus mystaceus,Agamidae,Agaminae
Sauria,Phrynocephalus ornatus,Agamidae,Agaminae
Sauria,Phrynocephalus persicus,Agamidae,Agaminae
Sauria,Phrynocephalus przewalskii,Agamidae,Agaminae
Sauria,Phrynocephalus putjatai,Agamidae,Agaminae
Sauria,Phrynocephalus raddei,Agamidae,Agaminae
Sauria,Phrynocephalus reticulatus,Agamidae,Agaminae
Sauria,Phrynocephalus roborowskii,Agamidae,Agaminae
Sauria,Phrynocephalus rossikowi,Agamidae,Agaminae
Sauria,Phrynocephalus scutellatus,Agamidae,Agaminae
Sauria,Phrynocephalus strauchi,Agamidae,Agaminae
Sauria,Phrynocephalus theobaldi,Agamidae,Agaminae
Sauria,Phrynocephalus versicolor,Agamidae,Agaminae
Sauria,Phrynocephalus vlangalii,Agamidae,Agaminae
Sauria,Pseudotrapelus aqabensis,Agamidae,Agaminae
Sauria,Pseudotrapelus sinaitus,Agamidae,Agaminae
Sauria,Trapelus agilis,Agamidae,Agaminae
Sauria,Trapelus agnetae,Agamidae,Agaminae
Sauria,Trapelus boehmei,Agamidae,Agaminae
Sauria,Trapelus flavimaculatus,Agamidae,Agaminae
Sauria,Trapelus jayakari,Agamidae,Agaminae
Sauria,Trapelus lessonae,Agamidae,Agaminae
Sauria,Trapelus megalonyx,Agamidae,Agaminae
Sauria,Trapelus microtympanum,Agamidae,Agaminae
Sauria,Trapelus mutabilis,Agamidae,Agaminae
Sauria,Trapelus pallidus,Agamidae,Agaminae
Sauria,Trapelus rubrigularis,Agamidae,Agaminae
